Next,ProductId,Year,Month,Units,Avg,Count,Max,Min,Prev
2.0000,665,2017,12,4.0000,1.333333,3,2.0000,1.0000,1.0000
10.0000,665,2018,4,2.0000,2.000000,1,2.0000,2.0000,4.0000
2.0000,665,2018,6,10.0000,10.000000,1,10.0000,10.0000,2.0000
0.0000,665,2018,9,2.0000,2.000000,1,2.0000,2.0000,10.0000
0.0000,666,2018,4,5.0000,5.000000,1,5.0000,5.0000,0.0000
0.0000,672,2018,8,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,675,2017,11,1.0000,1.000000,1,1.0000,1.0000,0.0000
3.0000,675,2018,1,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,675,2018,2,3.0000,3.000000,1,3.0000,3.0000,1.0000
1.0000,676,2017,9,4.0000,2.000000,2,2.0000,2.0000,0.0000
1.0000,676,2018,4,1.0000,1.000000,1,1.0000,1.0000,4.0000
20.0000,676,2018,5,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,676,2018,6,20.0000,20.000000,1,20.0000,20.0000,1.0000
1.0000,676,2018,7,1.0000,1.000000,1,1.0000,1.0000,20.0000
0.0000,676,2018,8,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,686,2017,11,1.0000,1.000000,1,1.0000,1.0000,0.0000
21.0000,694,2017,10,1.0000,1.000000,1,1.0000,1.0000,0.0000
2.0000,694,2017,11,21.0000,10.500000,2,20.0000,1.0000,1.0000
24.0000,694,2018,3,2.0000,1.000000,2,1.0000,1.0000,21.0000
0.0000,694,2018,5,24.0000,24.000000,1,24.0000,24.0000,2.0000
0.0000,703,2018,3,50.0000,50.000000,1,50.0000,50.0000,0.0000
1.0000,707,2017,9,4.0000,1.333333,3,2.0000,1.0000,0.0000
10.0000,707,2017,10,1.0000,1.000000,1,1.0000,1.0000,4.0000
2.0000,707,2018,1,10.0000,10.000000,1,10.0000,10.0000,1.0000
2.0000,707,2018,3,2.0000,2.000000,1,2.0000,2.0000,10.0000
1.0000,707,2018,8,2.0000,2.000000,1,2.0000,2.0000,2.0000
0.0000,707,2018,9,1.0000,1.000000,1,1.0000,1.0000,2.0000
0.0000,708,2017,12,3.0000,3.000000,1,3.0000,3.0000,0.0000
0.0000,709,2018,6,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,713,2017,9,1.0000,1.000000,1,1.0000,1.0000,0.0000
2.0000,713,2017,10,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,713,2018,9,2.0000,2.000000,1,2.0000,2.0000,1.0000
0.0000,716,2017,9,20.0000,10.000000,2,10.0000,10.0000,0.0000
1.0000,717,2017,9,100.0000,100.000000,1,100.0000,100.0000,0.0000
80.0000,717,2018,3,1.0000,1.000000,1,1.0000,1.0000,100.0000
12.0000,717,2018,5,80.0000,80.000000,1,80.0000,80.0000,1.0000
2.0000,717,2018,6,12.0000,12.000000,1,12.0000,12.0000,80.0000
10.0000,717,2018,7,2.0000,2.000000,1,2.0000,2.0000,12.0000
0.0000,717,2018,9,10.0000,10.000000,1,10.0000,10.0000,2.0000
36.0000,721,2017,9,109.0000,3.406250,32,20.0000,1.0000,0.0000
12.0000,721,2017,10,36.0000,7.200000,5,15.0000,1.0000,109.0000
8.0000,721,2017,11,12.0000,2.000000,6,6.0000,1.0000,36.0000
5.0000,721,2017,12,8.0000,2.000000,4,5.0000,1.0000,12.0000
15.0000,721,2018,1,5.0000,1.666666,3,3.0000,1.0000,8.0000
6.0000,721,2018,2,15.0000,1.666666,9,3.0000,1.0000,5.0000
17.0000,721,2018,3,6.0000,1.000000,6,1.0000,1.0000,15.0000
16.0000,721,2018,4,17.0000,1.888888,9,5.0000,1.0000,6.0000
